"country";"iso3c";"year";"ptype";"programme"
"Costa Rica";"CRI";"1999";"sp";"Poverty and Disability (1999-)"
"Costa Rica";"CRI";"1974";"sp";"Régimen no contributivo de pensiones por monto básico (Non-contributory pension scheme by basic amount) (1974-)"
"Cuba";"CUB";"1979";"sp";"Régimen de Asistencia Social / Social Assistance Regime (1979-)"
"Dominican Republic";"DOM";"2019";"sp";"Solidarity Pensions of the Subsidized Regime (2019 - )"
"Ecuador";"ECU";"2010";"sp";"Joaquin Gallegos Lara Allowance (2010-)"
"Ecuador";"ECU";"2017";"sp";"My best years pension (2017 - )"
"Ecuador";"ECU";"2003";"sp";"Pension for Elderly and Pension for Persons with Disabilities (Human Development Grant programme) (2003-)"
"Ecuador";"ECU";"2009";"sp";"Pension for Old-age  (Formerly part of the Human Development Grant programme)(2009-2022)"
"Ecuador";"ECU";"1998";"sp";"Solidarity Grant (1998-2003)"
"Ecuador";"ECU";"2019";"sp";"Whole Life Pension (2019-)"
"El Salvador";"SLV";"2009";"sp";"Our Older People's Rights (Nuestros Mayores Derechos) (2009-)"
"Guatemala";"GTM";"2005";"sp";"Aporte Económico del Adulto Mayor (2005-)"
"Guyana";"GUY";"1994";"sp";"Old Age Pension (Universal) (1994-)"
"Mexico";"MEX";"2007";"sp";"Pension for Older People (Pensión para Adultos Mayores) (ex ""70 and over"" programme)"
"Mexico";"MEX";"2019";"sp";"Pension for the Well-being of Older People / Pensión para el Bienestar de las Personas Adultas Mayores (2019-)"
"Mexico";"MEX";"2019";"sp";"Pension for the Well-being of People with Permanent Disabilities (2019-)"
"Mexico";"MEX";"2001";"sp";"Programme of Food Support for Adults over 68 years old living in Mexico City (2001-)"
"Panama";"PAN";"2009";"sp";"120 a los 65: Programa Especial de Transferencia Económica a los Adultos Mayores (2009-) (120 to 65: Special programme of economic assistance for the elderly) (2009-)"
"Panama";"PAN";"2013";"sp";"Guardian Angel Programme (2013-)"
"Paraguay";"PRY";"2009";"sp";"Food Pensions for Older People in a Situation of Poverty  (2009- )"
"Peru";"PER";"2017";"sp";"National Non-contributory Pension Program for People with Severe Disability in Situation of Poverty - CONTIGO (2017-)"
"Peru";"PER";"2011";"sp";"National Solidarity Assistance Programme “Pension 65“ (2011-)"
"St. Kitts & Nevis";"KNA";"1998";"sp";"Non-Contributory Assistance Pension (1998-)"
"St. Vincent & Grenadines";"VCT";"1998";"sp";"Non-contributory Assistance Age Pension (1998-)"
"Trinidad & Tobago";"TTO";"1997";"sp";"Disability Assistance Grant (1997-)"
"Trinidad & Tobago";"TTO";"2001";"sp";"Senior Citizens'Pension (ex Old Age Pension) (2001-)"
"Uruguay";"URY";"1919";"sp";"Pensiones no contributivas por vejez e invalidez (Non contributory pensions for older people and the disabled) (1919-)"
"Venezuela";"VEN";"2011";"sp";"Great Mission in Elder Love (2011- )"
