"";"region";"iso3c";"country";"year";"system";"leader";"party_name";"pf_party_id";"party_short";"cg_pcp_sexp";"cg_prop_sexp";"cg_prop_def";"cg_gdp_sexp";"n_sp";"n_cct";"n_lpi";"n_ncp";"all_cmd_imports";"real_cmd_exports_pcp";"pop";"maj";"execrlc";"exelec";"statecap_baseline";"v2x_polyarchy";"demstock_one";"gdp_pcp_ppp";"inf_eop_g";"unemp";"gg_rev";"cgov_debt";"kof_trade_df";"kof_trade_dj";"def_prop_gdp";"milex";"urban_pop";"dp_ratio_old";"dp_ratio_yg";"civtot";"ajr_settmort";"dist";"v2pariglef_ord";"milex_pop"
"382";"Caribbean";"TTO";"Trinidad & Tobago";1994;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;;;;0,58333331;"Right";0;1,32038176059723;0,765;0,269088303887553;11905,626;5,405;;26,46;52,581695497;49,5008773803711;32,7161026000977;0,489219432314411;85,9156373346367;55,5964822885821;7,23704612645525;49,4414939868634;0;4,44;2542282,63112054;3;
"383";"Caribbean";"TTO";"Trinidad & Tobago";1995;"Parliamentary";"Basdeo Panday";"United National Congress";4281;"UNC";;;;;0;0;0;0;591864;1169,08806412528;1308;0,55555558;"Right";0;1,31151151657104;0,76;0,274674411034064;12313,171;3,846;;26,904;50,137650016463;49,3543739318848;35,0981788635254;;;55,6994390265373;7,21130910034399;47,6478233473187;0;4,44;2542282,63112054;2;
"384";"Caribbean";"TTO";"Trinidad & Tobago";1996;"Parliamentary";"Basdeo Panday";"United National Congress";4281;"UNC";;;;;0;0;0;0;981521;1237,90905656909;1313;0,52777779;"Left";0;1,31151151657104;0,759;0,280150131482066;13156,542;4,321;;27,701;46,980012848561;50,1717338562012;36,0374717712402;;;55,7836876407195;7,18429262159764;45,6745371975114;0;4,44;2542282,63112054;2;
"385";"Caribbean";"TTO";"Trinidad & Tobago";1997;"Parliamentary";"Basdeo Panday";"United National Congress";4281;"UNC";;;;;1;0;0;1;1016071;1233,70396719686;1318;0,52777779;"Left";0;1,31151151657104;0,759;0,285560189600179;14120,564;3,55;;27,526;46,114242503625;57,0011901855469;35,5766372680664;;;55,8490234420447;7,15659718132925;43,6185026360091;0;4,44;2542282,63112054;2;
"386";"Caribbean";"TTO";"Trinidad & Tobago";1998;"Parliamentary";"Basdeo Panday";"United National Congress";4281;"UNC";;;;;0;0;0;0;1068157;1132,05256463704;1323;0,52777779;"Left";0;1,31151151657104;0,759;0,290916147137111;15245,279;5,429;;25,423;42,776458465485;59,9059906005859;35,544261932373;;;55,8952417414289;7,13386839994054;41,54240344234;0;4,44;2542282,63112054;2;
"387";"Caribbean";"TTO";"Trinidad & Tobago";1999;"Parliamentary";"Basdeo Panday";"United National Congress";4281;"UNC";;;;;0;0;0;0;1082157;1511,21621095632;1327;0,52777779;"Left";0;1,31151151657104;0,759;0,296218545098673;16439,654;3,523;;23,923;42,152149812503;56,4063034057617;34,905029296875;;;55,9221378497883;7,11835066632759;39,5213461289646;0;4,44;2542282,63112054;2;
"388";"Caribbean";"TTO";"Trinidad & Tobago";2000;"Parliamentary";"Basdeo Panday";"United National Congress";4281;"UNC";;;;;0;0;0;0;1563998;2389,10735735736;1332;0,52777779;"Left";0;1,31151151657104;0,767;0,30146791908062;17529,389;5,497;;24,262;38,911380701045;54,3988151550293;36,9004364013672;;;55,9291468285602;7,10256050447069;37,5834827947606;0;4,44;2542282,63112054;2;
"389";"Caribbean";"TTO";"Trinidad & Tobago";2001;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;1;0;0;1;1669879;2179,97847328533;1339;0,52777779;"Left";0;1,31151151657104;0,731;0,306752040326019;18113,724;3,226;;25,839;36,612571196231;53,0928916931152;44,6513671875;0,155634799309892;38,7025350196222;55,9010190940268;7,09002874117532;35,7608329013715;0;4,44;2542282,63112054;3;2,89040590139075
"390";"Caribbean";"TTO";"Trinidad & Tobago";2002;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;1695573;2100,07147530091;1346;0,55555558;"Right";0;1,32570397853851;0,746;0,311590735844242;19324,399;4,327;;24,364;35,619038058861;51,0030097961426;46,4029541015625;0,213074265946209;52,0693891158383;55,8298121439974;7,09811688022544;34,1212355097739;0;4,44;2542282,63112054;3;3,86845387190478
"391";"Caribbean";"TTO";"Trinidad & Tobago";2003;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;1797220;2901,54320926706;1354;0,55555558;"Right";0;1,32570397853851;0,758;0,316544621288416;21897,3;2,995;;25,359;29,045241585062;46,3184852600098;46,1026573181152;0,294294112206887;87,4570385030798;55,7188050758235;7,13412825408497;32,6916729683772;0;4,44;2542282,63112054;3;6,45916089387591
